fname,summary
test_98,캐롤이 샤워 중이어서 수잔이 캐롤에게 전화를 걸었습니다. 수잔은 캐롤에게 내일 밤 8시 반에 질의 집에서 디저트를 가져오라고 요청했습니다.
test_99,#Person1# 은 #Person2# 에게 Common Fitness Gym에서 일한 적이 있다고 말합니다. #Person2# 는 #Person1# 이 모퉁이에 있는 Whole Bean Cafe에서 일했다고 말합니다.
test_100,#Person1# 과 #Person2# 는 #Person1# 이 대통령이 된 것에 대해 이야기하고 있습니다.
test_101,#Person1# 은 ATM 사용 방법을 몰라 #Person2# 에게 도움을 요청합니다.
test_102,수잔 밀러가 John에게 사무실 절차에 관한 메모를 전달하기 위해 전화를 걸었다.
test_103,"#Person1# 이 Lily에게 소풍을 제안하고, Lily는 동의합니다."
test_104,#Person1# 은 #Person2# 에게 젓가락을 사용하여 중국 연회에 초대된 경험을 이야기합니다. #Person2# 는 중국 식탁에서 어떻게 행동해야 할지 혼란스러워합니다.
test_105,"Mary는 영화 보는 것을 좋아하고, Frank는 스릴러를 좋아합니다. Mary는 Frank에게 영화 대여점에 가입하라고 제안합니다."
test_106,"#Person1# 은 #Person2# 에게 녹색당에 가입할 의향이 있는지 묻고, #Person2# 는 녹색당이 환경 문제에 관심이 많다고 답합니다."
test_107,Wilson 씨는 상품 문제로 인해 #Person1# 에게 사과하고 사과합니다.
test_108,#Person2# 는 #Person1# 에게 강도 사건을 목격했다고 말합니다.
test_109,#Person1# 은 #Person2# 에게 저녁 메뉴를 물어본다. #Person2# 는 #Person1# 에게 저녁을 함께 먹자고 제안한다.
test_110,#Person1# 은 #Person2# 에게 새해 결심으로 다이어트를 시작하고 정크푸드를 끊을 것이라고 말합니다.
test_111,Karen Huang은 #Person1# 에게 Comp Lit 287 수업에 등록하고 싶다고 말합니다. #Person1# 은 #Person2# 에게 컴퓨터가 만원이지만 등록할 수 있다고 안내합니다.
test_112,#Person1# 은 #Person2# 에게 우산을 함께 쓰고 가자고 제안합니다.
test_113,"Daisy는 Jack에게 자신의 새로운 차를 태워달라고 요청하고, Jack은 동의한다."
test_114,#Person1# 은 #Person2# 에게 큰불이 밤에 일어났다고 말합니다.
test_115,"#Person1# 은 #Person2# 에게 계산대까지 안내해 달라고 요청하고, #Person2# 는 이를 수락합니다."
test_116,#Person2# 는 #Person1# 의 도움으로 일반 세차 패키지를 구매합니다.
test_117,"해리는 아내와 함께 이집트로 여행을 갈 계획이며, 배로 갈 수도 있다고 #Person1# 에게 말합니다."
test_118,Johnson은 #Person1# 에게 기계에 대한 조언을 구합니다. #Person1# 은 #Person2# 에게 스트레칭을 잘하고 기계에 적합한 무게를 입력하라고 조언합니다.
test_119,#Person2# 는 #Person1# 에게 회사가 문을 닫아 실직 중이라고 말합니다. #Person1# 은 #Person2# 에게 면접을 제안합니다.
test_120,"#Person1# 은 강아지들에게 밥을 주고, 목욕시키며 토요일 오전 11시에 수의사 예약을 상기시킵니다."
test_121,에이든 집주인 아주머니께 200달러 빚이 있어 #Person1# 에게 돈을 빌려달라고 요청합니다. #Person1# 은 월요일에 월급이 들어올 때까지 돈을 빌려달라고 요청합니다.
test_122,#Person2# 는 #Person1# 에게 자선 단체에서 일하면서 많은 것을 배웠다고 말합니다.
test_123,#Person1# 은 #Person2# 에게 전화나 이메일을 통해 연락할 것을 요청합니다.
test_124,#Person1# 은 #Person2# 에게 모우탄과 베이징 오리 구이를 추천합니다.
test_125,Dan은 Angela에게 전화를 걸어 다음 주에 결혼한다고 알린다. Angela는 Megan을 데리러 가기로 한다.
test_126,#Person1# 은 #Person2# 에게 이탈리아 티라미수와 튀긴 바나나를 먹어보라고 제안합니다.
test_127,Smith 씨는 #Person1# 에게 자신의 전공과 경력을 설명합니다.
test_128,#Person1# 은 #Person2# 에게 조카에게 줄 선물로 디지털 바비를 구매합니다.
test_129,#Person2# 는 #Person1# 의 도움으로 조던 운동화를 구매합니다.
test_130,#Person1# 은 #Person2# 에게 과학박물관으로 가는 길을 안내합니다.
test_131,사이먼은 #Person1# 에게 직장을 그만둔 후 프로젝트 업무에 지원할 수 있게 되었다고 말합니다. 그는 #Person1# 에게 회사 웹사이트에 자신이 접근할 수 있는 구인 정보를 게시할 수 있다고 설명합니다.
test_132,Rocky는 #Person1# 에게 자신이 다정하고 모든 필요를 채워주는 여자를 좋아한다고 말합니다. #Person1# 은 #Person2# 가 외향적이고 다정하며 자기 중심적이라고 생각합니다.
test_133,"#Person1# 은 #Person2# 에게 어젯밤 폭풍으로 창문 몇 개가 부서졌고, 큰 나무 하나가 부러졌다고 말합니다."
test_134,#Person1# 은 #Person2# 에게 TV를 보는 것이 지루하다고 말합니다. #Person2# 는 #Person1# 에게 함께 시간을 보내자고 제안합니다.
test_135,Ben은 #Person1# 에게 새 학교 생활에 적응하기 위해 내일 수업을 준비 중이라고 말합니다.
test_136,Adam은 #Person1# 에게 미시간과의 경기 영상을 보고 싶다고 말합니다. #Person1# 은 미시간의 최근 세 경기 영상을 보고 싶어합니다.
test_137,#Person1# 은 프린터 고장으로 인해 #Person2# 에게 도움을 요청합니다.
test_138,#Person1# 은 커튼을 달기 위해 #Person2# 에게 도움을 요청합니다.
test_139,#Person1# 은 Jack에게 주말 캠핑 계획을 확인하기 위해 달력 확인을 요청합니다.
test_140,#Person1# 은 #Person2# 에게 임신 사실을 알린다. #Person2# 는 #Person1# 에게 임신 사실을 알린다.
test_141,#Person2# 는 딸이 대학 결정을 못 하고 있어 #Person1# 에게 조언을 구합니다.
test_142,"#Person1# 은 #Person2# 에게 일자리를 잃으면 생계 유지에 어려움을 겪을 것이라고 말합니다. #Person2# 는 #Person1# 에게 상사가 정직하지 않다고 말하고, #Person1# 은 #Person2# 에게 돈을 절약할 것을 제안합니다."
test_143,#Person2# 는 #Person1# 에게 #Person2# 의 친구가 에딘버러 대학의 박사과정 학생이라고 말합니다. #Person1# 은 #Person2# 에게 강연의 주제와 주제를 묻습니다.
test_144,"#Person1# 은 John네 집에 가고 싶어 하지만, #Person2# 는 감기에 걸렸다고 말합니다."
test_145,Mr. Faber는 요크 호텔에 전화하여 7월 23일까지 더블 룸을 예약합니다.
test_146,"#Person1# 은 #Person2# 에게 웨스트 더비를 추천하고, #Person2# 는 플랫을 추천합니다. #Person1# 은 #Person2# 에게 친구 John Godfrey를 소개합니다."
test_147,#Person2# 는 #Person1# 에게 경찰에게 정지당했을 때 운전하고 있었다고 설명합니다. #Person1# 은 #Person2# 에게 기차 대신 운전하자고 제안합니다.
test_148,"Dan은 9월 10일에 100대 컴퓨터 주문에 대해 확인하기 위해 전화했습니다. #Person1# 은 Dan의 전화번호를 요청하고, Dan은 6이 두 번이라고 설명합니다."
test_149,#Person1# 은 #Person2# 에게 워싱턴 포스트 신문의 사본에 대해 설명합니다.
test_150,#Person2# 의 컴퓨터에 바이러스가 들어왔습니다. #Person1# 은 #Person2# 에게 파일을 압축해서 보내라고 조언합니다.
test_151,#Person2# 는 #Person1# 에게 주말에 즐거웠던 시간을 이야기합니다.
test_152,"#Person1# 은 중국 음식을 먹고 싶어 하고, #Person2# 는 Panda Express에서 중국 음식을 먹자고 제안합니다."
test_153,"톰은 Hans 가구 매장의 메리에게 영업직을 제안했지만, 메리는 다른 후보자가 더 많은 경험이 있어 거절했습니다."
test_154,"#Person1# 이 #Person2# 에게 전화를 걸었으나, #Person2# 는 #Person1# 이 열 번째 전화라고 말합니다."
test_155,"#Person2# 는 음악 교사가 되고 싶다고 #Person1# 에게 말합니다. #Person1# 은 음악과 예술에서 학사와 석사 학위를 가지고 있으며, 클래식 음악을 좋아합니다. #Person2# 는 클래식 음악을 듣는 것이 스트레스 해소에 도움이 된다고 설명합니다."
test_156,#Person1# 은 #Person2# 에게 같은 건물에 사는 여자를 만났다고 말합니다. #Person2# 는 #Person1# 에게 미국 남자 두 명도 그 여자에게 반했다고 말합니다. #Person1# 은 #Person2# 를 저녁 식사에 초대할 계획입니다.
test_157,#Person1# 은 #Person2# 에게 Mirella가 Silicon Valley에서 회의 참석 후 계속 청바지에 스웨트셔츠를 입고 출근한다고 말합니다. #Person2# 는 Mirella가 서부 해안 스타일에 영향을 받은 것 같다고 생각합니다.
test_158,"#Person1# 은 #Person2# 의 법률 사무소를 차리려고 하며, #Person2# 는 #Person1# 의 도움에 감사를 표합니다."
test_159,Kate는 Peter에게 어젯밤에 온라인 게임을 했다고 말합니다.
test_160,"#Person2# 는 #Person1# 에게 배와 보트가 기차, 비행기, 자동차에게 자리를 내주고 있다고 설명합니다."
test_161,Andy는 Fanny에게 어젯밤 겪은 끔찍한 경험에 대해 이야기합니다. Fanny는 #Person1# 에게 유령들이 무덤에서 튀어나왔다고 말합니다.
test_162,"#Person1# 은 Ernie와 함께 밴드를 시작할 계획이며, #Person2# 는 Vanilla Ice 노래를 추천합니다."
test_163,"#Person1# 은 #Person2# 에게 뉴올리언스로 여행을 다녀왔다고 말하고, 강변 저녁 유람선 투어를 제안합니다."
test_164,#Person1# 은 #Person2# 의 사이즈에 만족하여 신용카드로 결제합니다.
test_165,"Blake씨는 Foster에게 교육 매뉴얼을 보내달라고 요청했지만, Foster는 복사 중이라 내일 오후에 전달할 수 없습니다."
test_166,데이비드는 #Person1# 에게 이번 금요일에 롱아일랜드를 출발하여 솔트레이크시티까지 여행할 계획이라고 말합니다.
test_167,#Person1# 은 #Person2# 에게 파멜라의 비행기 타기를 재촉합니다. #Person2# 는 #Person1# 에게 파멜라에게 편지를 써달라고 요청합니다.
test_168,#Person2# 는 #Person1# 에게 77번 도로에서 걸어서 가는 방법을 안내합니다.
test_169,#Person1# 은 #Person2# 에게 메카로 성지순례 가는 무슬림들을 소개합니다. #Person2# 는 #Person1# 에게 순례자가 많은 이유를 설명합니다.
test_170,#Person1# 은 #Person2# 에게 중앙 백화점으로 가는 길을 안내합니다.
test_171,"#Person1# 은 #Person2# 에게 다음 주 며칠 동안 런던에 함께 가자고 제안합니다. #Person2# 는 기차를 타는 것을 선호하고, #Person1# 은 자동차를 선호합니다."
test_172,"톰은 샌드위치를 받았지만 치킨이 덜 익었다고 케서린에게 말합니다. 케서린은 맥도날드나 KFC 같은 유명 브랜드들을 좋아하지만, 톰은 패스트푸드를 좋아하지 않습니다."
test_173,#Person2# 는 #Person1# 에게 바비큐 윙과 베이비 백 립을 주문합니다.
test_174,#Person1# 은 #Person2# 의 도움으로 더블 치즈버거와 감자튀김을 주문합니다.
test_175,"#Person2# 는 빵을 만들기 위해 머핀을 구웠고, #Person1# 은 반숙 계란과 프라이드 에그를 추천합니다."
test_176,#Person1# 은 #Person2# 에게 그랜드 호텔로 가는 길을 묻습니다.
test_177,#Person1# 은 #Person2# 에게 미국 경찰이 어떻게 생겼는지 보여주고 싶다고 요청합니다.
test_178,#Person1# 은 #Person2# 에게 내일 빈 방을 요청합니다.
test_179,"#Person2# 는 미국에 공부하러 가기 위해 비자를 신청했고, #Person1# 은 #Person2# 에게 필요한 서류와 학업 관련 서류를 제출하라고 조언합니다."
test_180,Anne은 #Person1# 에게 피곤해서 일찍 자고 싶다고 말합니다. #Person1# 은 Anne에게 내일 밤 펍에서 술을 마시자고 제안합니다.
test_181,Mary는 #Person1# 에게 인터넷 쇼핑이 편리하고 비용이 저렴하다고 설명합니다.
test_182,#Person2# 는 #Person1# 에게 미국식 회계에 익숙하지 않다고 말합니다.
test_183,"피터는 여름에 시안을 방문하고 싶다고 제인에게 말합니다. 제인은 피터에게 피터와 함께 하얼빈에 가자고 제안하고, 피터는 동의합니다."
test_184,#Person1# 은 #Person2# 의 도움으로 로맨스 영화를 빌립니다. #Person2# 는 #Person1# 에게 영화 5편을 대여할 수 있는 5달러짜리 카드를 제공합니다.
test_185,"#Person1# 은 Mr. Lee의 소포를 찾고 있으며, #Person2# 는 소포를 찾지 못하고 있습니다."
test_186,#Person1# 은 #Person2# 에게 공항이 닫혀서 내일 아침까지 비행기가 출발하지 않는다고 알립니다.
test_187,#Person1# 은 컴퓨터 도움으로 #Person2# 에게 대접을 받습니다.
test_188,#Person1# 은 불면증으로 인해 잠을 잘 못 자고 있습니다. #Person2# 는 #Person1# 에게 요가 수업을 듣거나 이완 테크닉을 배우라고 조언합니다. #Person1# 은 #Person2# 에게 음악을 들으라고 제안합니다.
test_189,#Person1# 은 #Person2# 에게 주방을 확 바꾸고 싶다고 말합니다.
test_190,Walter와 Sterling은 Professor Wood에 대해 이야기한다.
test_191,"#Person1# 은 #Person2# 에게 상담할 수 있는 시간을 예약해 달라고 요청하고, #Person2# 는 이를 수락합니다."
test_192,Martin은 이번 시험 준비에 대해 Eliza 선생님에게 감사를 표합니다. Eliza 선생님은 Martin에게 학생 복지회 도움이 도움이 되었다고 생각합니다.
test_193,#Person1# 은 #Person2# 에게 소포를 한국으로 보내달라고 요청합니다.
test_194,#Person1# 은 Linda에게 호텔 방에 있는 휴대폰을 찾아달라고 요청합니다. Linda는 #Person1# 에게 여동생이 핸드폰을 잃어버렸다고 전하라고 조언합니다.
test_195,#Person2# 는 #Person1# 에게 로스앤젤레스로 가는 비행기 탑승을 안내합니다.
test_196,"#Person2# 는 여름 방학 동안 삼촌 회사에서 아르바이트를 하며 경험을 쌓을 계획이며, #Person1# 은 졸업 후 여행을 계획하고 있다."
test_197,Mary는 #Person1# 에게 12번 집의 정원 문이 잠겨 있었다고 말합니다. #Person1# 은 #Person2# 에게 나무의 큰 가지를 보지 못했다고 말합니다.
test_198,"#Person1# 은 #Person2# 에게 회사에서 6년 동안 일했다고 말합니다. #Person2# 는 #Person1# 에게 회사에서 새로운 기술 개발에 도움을 주며, 여행을 갈 기회는 많지 않다고 말합니다."
test_199,#Person1# 은 #Person2# 의 도움을 받아 사회보장번호와 신분증을 확인하고 계좌를 개설합니다.
test_200,"#Person1# 은 #Person2# 에게 중국 음식을 추천하지만, #Person2# 는 매운 음식을 좋아하지 않습니다. 결국 #Person1# 은 전취덕 식당을 추천합니다."
test_201,#Person1# 은 #Person2# 에게 양털이 최대한 빨리 도착하기를 희망합니다. #Person2# 는 #Person1# 에게 오클랜드를 떠나는 첫 배에 주문을 실어주기로 했습니다.
test_202,#Person1# 은 독서등을 깨뜨려 #Person2# 에게 변상을 요청합니다.
test_203,#Person1# 은 #Person2# 에게 2006 회계연도 마케팅 계획에 대해 설명합니다. #Person2# 는 #Person1# 에게 올해 매출 증가와 매출 증가에 대해 설명합니다.
test_204,"#Person1# 은 #Person2# 에게 휴가 계획에 대해 묻습니다. #Person2# 는 파리에서 출발하여 밀라노로 갈 예정이며, 영국에서 페스티벌에 참석할 계획입니다."
